dialogNumber,Character,comment,isChoose,linkCondition,linkDilog,Choice1,Choice2,Choice3,Custom
1,RedHood001/001,안녕하세요! 이런 숲속에서 사람을 만날줄은 몰랐어요!,FALSE,,,,,,
2,RedHood001/001,엄마가 낯선 사람은 믿지 말라고 했지만..,FALSE,,,,,,
3,RedHood001/002,이런 숲속에서 만난건 정말 운명이 아닐까 생각해요!,TRUE,,,이런곳에서 뭐하고있어? /5,난 운명은 안믿어. /4,,
4,RedHood001/001,......,FALSE,,,,,,
5,RedHood001/003,앗!$화면흔들림 효과$ 깜빡했어요!,FALSE,,,,,,
6,RedHood001/001,저 사실 엄마의 심부름으로 할머니 집에 가던 길이였어요.,FALSE,,,,,,
7,RedHood001/001,"할머니가 편찮으셔서, 사과를 가지고 가서 함께 잼을 만들어 먹을려고 했거든요..",FALSE,,,,,,
8,RedHood001/001,근데 지금 사과를 전부 잃어버려서 곤란해요..총 3개였거든요.,FALSE,,,,,,
9,RedHood001/003,오는길에 떨어뜨렸나..?,FALSE,100/TRUE,11,,,,
100,,사과 세개를 전부 모았다! 빨간모자에게 가져다주자.,FALSE,,,,,,
11,RedHood001/003,앗 이건...,FALSE,,,,,,
12,RedHood001/002,사과에요! $화면 샤랄라 효과$그것도 제가 잃어버린 세개!,FALSE,,,,,,
13,RedHood001/002,정말 감사합니다!,FALSE,,,,,,
14,RedHood001/002,이건 제 답례에요 받아주세요! $아이템 획득 효과$,FALSE,,,,,,"""베리"" 획득."
15,RedHood001/001,전 이제 할머니집으로 가봐야할것같아요.,FALSE,,,,,,
16,RedHood001/001,이렇게 도움받을줄은 몰랐어요!,FALSE,,,,,,
17,RedHood001/001,사실 여기오기 전에도 커다란 늑대씨와 대화를 나누었어요.,FALSE,,,,,,
18,RedHood001/001,엄마가 늑대는 특히 위험하다고 절때! 말하지 말라고 했는데..,FALSE,,,,,,
19,Mom001/001,$백그라운드 변경(검정색)$내가 뭐라고 했지~?,FALSE,,,,,,
20,RedHood001/001,낯선사람과 말 금지! 특히 늑대랑 대화 금지!,FALSE,,,,,,
21,Mom001/001,옳지 엄마 말 잘들어야돼~? 안그러면 늑대가 널 왕! 하고 먹어버릴지도 몰라.,FALSE,,,,,,"인물도감 ""비안"" 정보 추가+완료."
22,RedHood001/002,으하핫!! 알았어요 엄마. 다녀올게요~,FALSE,,,,,,
23,RedHood001/002,$백그라운드 변경(돌아옴)$여기까지 오는데 너무 심심해서 이런저런 얘기를 나누며 친해졌어요!,FALSE,,,,,,
24,RedHood001/002,"할머니 집에 간다고 하니, 다음에 놀러가겠다고 하면서요!",TRUE,,,느 늑대..? /25,그거 위험한거 아니야..? /25,,
25,RedHood001/002,괜찮아요! 아주 순하게 보였어요.,FALSE,,,,,,
26,RedHood001/001,이제 진짜 가봐야겠어요! 할머니가 절 기다릴지도 몰라요.,FALSE,,,,,,
27,RedHood001/001,참! 제 이름은.. 앗 이름도 알려주면 안된다고 했는데..그럼 별명을 알려드릴게요.,FALSE,,,,,,
28,RedHood001/002,저는 빨간망토에요! 할머니와 사람들 전부 그렇게 불러요!,FALSE,,,,,,"인물도감 ""빨간망토"" 정보 추가."
29,RedHood001/001,다음에 봐요 안녕!,FALSE,,,,,,
30,Hunter001/001,...깜짝이야 늑대인줄 알았군. ,FALSE,,,,,,
31,Hunter001/001,"지금 마침  무기를 잃어버려서 곤란한데 말이야.. 너도 이런 숲속에서는 단단히 준비하라고,",TRUE,,,무기를 잃어버렸다고요?/32,당장 무기가 될만한게 없을까요?/33,,
32,Hunter001/001,그래. 늑대를 쫓고있다가 그만.,FALSE,,,,,,
33,Hunter001/001,급한데로 나뭇가지랑 돌이라도 가지고 도끼를 만들고싶은데..,FALSE,200/TRUE,34,,,,
200,,이정도 돌과 나무라면 도끼를 만들수있을것같아. 사냥꾼에게 가져가자.,FALSE,,,,,,
35,Hunter001/001,오. 이정도면 임시방편이지만 도끼를 만들수있겠는걸?,FALSE,,,,,,
